"Race","Ethnicity","Sex","Age","Age Unit"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Female","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Male","","Unknown"
"Unknown","Unknown","Female","","Unknown"
